t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
0.43, 1091, 119, 1.9322036423168159, 62.507999999999996, 0.017545440705799498
0.44, 1090, 120, 1.9451470002145368, 62.507999999999996, 0.017066057079957984
0.45, 1090, 120, 1.957898604661921, 62.507999999999996, 0.01649079672894816
0.46, 1090, 121, 1.9704584556589688, 62.507999999999996, 0.016011413103106647
0.47, 1090, 121, 1.9836894437321946, 62.507999999999996, 0.015436152752096826
0.5, 1089, 123, 2.0183968182431204, 62.507999999999996, 0.013998001874572277
0.51, 1089, 123, 2.0285597511109605, 62.507999999999996, 0.01351861824873076
0.52, 1089, 124, 2.039393821054979, 62.507999999999996, 0.013135111348057548
0.53, 1088, 124, 2.050132014273829, 62.507999999999996, 0.012655727722216032
0.54, 1088, 125, 2.061253714393352, 62.507999999999996, 0.012176344096374515
0.55, 1088, 125, 2.0732383050393897, 62.507999999999996, 0.011696960470532999
0.56, 1088, 126, 2.084264128433745, 62.507999999999996, 0.011217576844691482
0.58, 1087, 127, 2.1047817476197617, 62.507999999999996, 0.010354686318176752
0.59, 1087, 127, 2.11389003651075, 62.507999999999996, 0.00997117941750354
0.6, 1086, 128, 2.123190078852076, 62.507999999999996, 0.009587672516830327
0.61, 1086, 128, 2.1322024910178965, 62.507999999999996, 0.009204165616157113
0.62, 1086, 128, 2.1401602592068656, 62.507999999999996, 0.008916535440652204
0.65, 1085, 130, 2.162116029270407, 62.507999999999996, 0.007957768188969172
0.67, 1084, 131, 2.1759222776946423, 62.507999999999996, 0.007382507837959351
0.69, 1084, 132, 2.188961512317532, 62.507999999999996, 0.007094877662454442
0.7, 1083, 132, 2.195577006354145, 62.507999999999996, 0.0068072474869495326
0.71, 1083, 133, 2.202000746940421, 62.507999999999996, 0.006711370761781229
0.72, 1082, 133, 2.2069863366491727, 62.507999999999996, 0.006519617311444623
0.73, 1082, 134, 2.2118760496327563, 62.507999999999996, 0.006519617311444623
0.75, 1081, 135, 2.2207925850734083, 62.507999999999996, 0.006327863861108016
0.76, 1081, 135, 2.2261616816828336, 62.507999999999996, 0.006040233685603106
0.77, 1081, 136, 2.2320101619180996, 62.507999999999996, 0.0059443569604348025
0.78, 1080, 136, 2.2378586421533666, 62.507999999999996, 0.005752603510098196
0.8, 1080, 137, 2.249172095723226, 62.507999999999996, 0.005464973334593286
0.81, 1079, 137, 2.2533906716306316, 62.507999999999996, 0.00527321988425668
0.82, 1079, 138, 2.2577051242632056, 62.507999999999996, 0.00527321988425668
0.83, 1078, 138, 2.2616360699951055, 62.507999999999996, 0.005081466433920073
0.84, 1078, 139, 2.2655670157270063, 62.507999999999996, 0.005081466433920073
0.85, 1078, 139, 2.2697855916344114, 62.507999999999996, 0.0048897129835834665
0.86, 1077, 140, 2.27381241409148, 62.507999999999996, 0.0048897129835834665
0.87, 1077, 140, 2.2779351132737173, 62.507999999999996, 0.0047938362584151635
0.88, 1076, 141, 2.281961935730786, 62.507999999999996, 0.0047938362584151635
0.89, 1076, 141, 2.285988758187855, 62.507999999999996, 0.004602082808078557
0.9, 1076, 142, 2.2900155806449236, 62.507999999999996, 0.004602082808078557
0.92, 1075, 143, 2.2964393212311998, 62.507999999999996, 0.004506206082910254
0.93, 1074, 143, 2.29979500661209, 62.507999999999996, 0.00441032935774195
0.95, 1074, 144, 2.3067940075493767, 62.507999999999996, 0.004314452632573647
