t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
7.1, 302, 80, 1.5862804179095775, 62.507999999999996, 0.0
7.2, 302, 86, 1.587047431710924, 62.507999999999996, 0.0
7.3, 302, 92, 1.587047431710924, 62.507999999999996, 0.0
7.4, 302, 99, 1.5866639248102508, 62.507999999999996, 0.0
7.5, 302, 105, 1.5865680480850826, 62.507999999999996, 0.0
7.7, 302, 117, 1.5862804179095775, 62.507999999999996, 0.0
7.8, 302, 124, 1.5861845411844093, 62.507999999999996, 0.0
7.9, 302, 130, 1.5857051575585677, 62.507999999999996, 0.0
8.0, 302, 136, 1.5859927877340725, 62.507999999999996, 0.0
8.1, 302, 142, 1.5863762946347457, 62.507999999999996, 0.0
8.2, 302, 148, 1.5859927877340725, 62.507999999999996, 0.0
8.3, 302, 155, 1.5864721713599141, 62.507999999999996, 0.0
8.4, 301, 161, 1.5859927877340725, 62.507999999999996, -0.0003835069006732131
8.5, 301, 167, 1.5837876230552017, 62.507999999999996, -0.0002876301755049098
8.6, 301, 173, 1.5822535954525088, 62.507999999999996, -0.00019175345033660654
8.7, 301, 180, 1.581390704925994, 62.507999999999996, 0.0
8.8, 301, 186, 1.5811989514756575, 62.507999999999996, 0.0
8.9, 301, 192, 1.581294828200826, 62.507999999999996, 0.0
9.0, 301, 198, 1.5816783351014991, 62.507999999999996, 0.0
9.1, 301, 204, 1.5814865816511623, 62.507999999999996, 0.0
9.2, 301, 211, 1.5815824583763307, 62.507999999999996, 0.0
9.3, 301, 217, 1.5814865816511623, 62.507999999999996, 0.0
9.4, 301, 223, 1.581774211826667, 62.507999999999996, 0.0
9.5, 301, 229, 1.5818700885518355, 62.507999999999996, 9.587672516830327e-05
9.6, 301, 235, 1.5818700885518355, 62.507999999999996, 9.587672516830327e-05
9.7, 301, 242, 1.5823494721776772, 62.507999999999996, 9.587672516830327e-05
9.8, 301, 248, 1.5827329790783502, 62.507999999999996, 9.587672516830327e-05
9.9, 300, 254, 1.582637102353182, 62.507999999999996, -0.00019175345033660654
10.0, 300, 260, 1.5823494721776772, 62.507999999999996, -0.00019175345033660654
10.1, 300, 267, 1.5816783351014991, 62.507999999999996, -9.587672516830327e-05
10.2, 300, 273, 1.5810071980253209, 62.507999999999996, -9.587672516830327e-05
10.3, 300, 279, 1.5803360609491428, 52.194179999999996, 0.0
10.4, 300, 284, 1.579185540247123, 39.69258, 0.0
10.5, 300, 288, 1.5796649238729648, 29.6913, 0.0
10.6, 300, 291, 1.5795690471477963, 22.19034, 0.0
10.7, 300, 293, 1.5805278143994792, 17.1897, 0.0
10.8, 300, 295, 1.580144307498806, 12.18906, 0.0
10.9, 300, 295, 1.5803360609491428, 12.18906, 0.0
11.1, 300, 295, 1.8120701056809319, 62.507999999999996, 0.08063232586654305
11.2, 300, 295, 2.094522938026753, 62.507999999999996, 0.06299100843557526
11.3, 300, 295, 2.373620084991684, 62.507999999999996, 0.045541444454944055
11.4, 297, 297, 2.616188199667491, 62.507999999999996, 0.03135168913003517
11.5, 293, 299, 2.807366389653088, 62.507999999999996, 0.020325865735680293
11.7, 282, 301, 3.0244312954341264, 62.507999999999996, 0.007766014738632564
11.8, 276, 301, 3.085025385740494, 62.507999999999996, 0.004026822457068737
11.9, 270, 302, 3.115610061069183, 62.507999999999996, 0.002588671579544188
12.0, 264, 302, 3.1361276802552, 62.507999999999996, 0.0012463974271879426
12.1, 258, 302, -3.1363194337055362, 62.507999999999996, 0.0005752603510098196
12.2, 252, 302, -3.132388487973636, 62.507999999999996, 0.0003835069006732131
12.3, 245, 302, -3.1281699120662303, 62.507999999999996, 9.587672516830327e-05
12.4, 239, 302, -3.1278822818907255, 62.507999999999996, 9.587672516830327e-05
12.5, 233, 302, -3.1264441310132014, 62.507999999999996, 0.0
12.6, 227, 302, -3.126060624112528, 62.507999999999996, 0.0
12.7, 221, 302, -3.126060624112528, 62.507999999999996, 0.0
12.8, 214, 302, -3.1255812404866865, 62.507999999999996, 0.0
12.9, 208, 302, -3.1257729939370233, 62.507999999999996, 0.0
13.0, 202, 302, -3.127019391364211, 62.507999999999996, 0.0
13.1, 196, 302, -3.1252936103111817, 62.507999999999996, 0.0
13.2, 189, 302, -3.125485363761518, 62.507999999999996, 0.0
13.3, 183, 302, -3.125101856860845, 62.507999999999996, 0.0
13.4, 177, 302, -3.1257729939370233, 62.507999999999996, 0.0
13.5, 171, 302, -3.1251977335860133, 62.507999999999996, 0.0
13.6, 165, 301, -3.126731761188706, 62.507999999999996, -0.0003835069006732131
13.7, 158, 301, -3.128553418966904, 62.507999999999996, -0.0002876301755049098
13.8, 152, 301, -3.1302792000199333, 62.507999999999996, -0.00019175345033660654
13.9, 146, 301, -3.131717350897458, 62.507999999999996, -9.587672516830327e-05
14.0, 140, 301, -3.132100857798131, 62.507999999999996, -9.587672516830327e-05
14.1, 134, 301, -3.132963748324646, 62.507999999999996, 0.0
14.2, 127, 301, -3.1325802414239727, 62.507999999999996, 0.0
14.3, 121, 301, -3.132676118149141, 62.507999999999996, 0.0
14.4, 115, 301, -3.133251378500151, 62.507999999999996, 0.0
14.5, 109, 301, -3.1328678715994775, 62.507999999999996, 0.0
14.6, 102, 301, -3.132388487973636, 62.507999999999996, 0.0
14.7, 96, 301, -3.1324843646988043, 62.507999999999996, 0.0
14.8, 90, 301, -3.132388487973636, 62.507999999999996, 0.0
14.9, 84, 301, -3.1321967345232995, 62.507999999999996, 0.0
15.0, 78, 301, -3.132771994874309, 62.507999999999996, 9.587672516830327e-05
15.1, 71, 301, -3.132100857798131, 62.507999999999996, 9.587672516830327e-05
15.2, 65, 301, -3.1313338439967846, 62.507999999999996, 9.587672516830327e-05
15.3, 59, 300, -3.130758583645775, 62.507999999999996, -0.0002876301755049098
15.4, 53, 300, -3.1322926112484675, 62.507999999999996, -0.00019175345033660654
15.5, 46, 300, -3.1334431319504876, 62.507999999999996, -9.587672516830327e-05
15.6, 40, 300, -3.1333472552253188, 62.507999999999996, -9.587672516830327e-05
15.7, 34, 300, -3.134593652652507, 62.507999999999996, -9.587672516830327e-05
15.8, 28, 300, -3.1348812828280117, 62.507999999999996, 0.0
15.9, 22, 300, -3.135264789728685, 54.6945, 0.0
16.0, 16, 300, -3.1355524199041898, 39.69258, 0.0
16.1, 12, 300, -3.134306022477002, 29.6913, 0.0
16.2, 9, 300, -3.135168913003517, 22.19034, 0.0
16.3, 7, 300, -3.134593652652507, 17.1897, 0.0
16.4, 5, 300, -3.134306022477002, 12.18906, 0.0
16.5, 5, 300, -3.13440189920217, 62.507999999999996, 0.09520558809212515
16.6, 5, 300, -3.046099435322163, 62.507999999999996, 0.08974061475753185
16.7, 5, 300, -2.8011344025171483, 62.507999999999996, 0.07440033873060334
16.8, 5, 300, -2.5039165544954085, 62.507999999999996, 0.0558002540479525
16.9, 4, 299, -2.24217309478594, 62.507999999999996, 0.039980594395182464
17.0, 2, 296, -2.021752503624011, 62.507999999999996, 0.027133113222629825
17.1, 0, 291, -1.8573239199603708, 62.507999999999996, 0.017833070881304407
17.2, -1, 285, -1.7396831781788629, 62.507999999999996, 0.011025823394354876
17.3, -2, 280, -1.6598178661136662, 62.507999999999996, 0.006519617311444623
17.4, -2, 274, -1.613030024231534, 62.507999999999996, 0.003547438831227221
17.5, -2, 268, -1.584171129955875, 62.507999999999996, 0.0017257810530294589
17.6, -2, 262, -1.569022607379283, 62.507999999999996, 0.0008628905265147294
17.7, -2, 255, -1.564324647846036, 62.507999999999996, 0.0005752603510098196
17.8, -2, 249, -1.5587637977862745, 62.507999999999996, 0.00019175345033660654
18.0, -2, 237, -1.5550246055047108, 62.507999999999996, 0.0
18.1, -2, 231, -1.5547369753292057, 62.507999999999996, 0.0
18.2, -2, 225, -1.554832852054374, 62.507999999999996, 0.0
18.3, -2, 218, -1.555120482229879, 62.507999999999996, 0.0
18.4, -2, 212, -1.5547369753292057, 62.507999999999996, 0.0
18.5, -2, 206, -1.554449345153701, 62.507999999999996, 0.0
18.6, -2, 200, -1.5543534684285325, 62.507999999999996, 0.0
18.7, -2, 193, -1.5546410986040375, 62.507999999999996, 0.0
18.8, -2, 187, -1.5545452218788691, 62.507999999999996, 0.0
18.9, -2, 181, -1.555120482229879, 62.507999999999996, 0.0
19.0, -2, 175, -1.5549287287795424, 62.507999999999996, 0.0
19.1, -2, 169, -1.5546410986040375, 62.507999999999996, 0.0
19.2, -2, 162, -1.5546410986040375, 62.507999999999996, 0.0
19.3, -2, 156, -1.554832852054374, 62.507999999999996, 0.0
19.4, -2, 150, -1.5546410986040375, 62.507999999999996, 0.0
19.5, -2, 144, -1.5541617149781959, 62.507999999999996, 0.0
19.6, -1, 137, -1.5553122356802156, 62.507999999999996, -0.0004793836258415163
19.7, -1, 131, -1.5574215236339182, 62.507999999999996, -0.0002876301755049098
19.8, -1, 125, -1.5589555512366111, 62.507999999999996, -9.587672516830327e-05
19.9, -1, 119, -1.5597225650379574, 62.507999999999996, 0.0
20.0, -1, 113, -1.5596266883127894, 62.507999999999996, 0.0
20.1, -1, 106, -1.559530811587621, 62.507999999999996, 0.0
20.2, -1, 100, -1.5601060719386308, 62.507999999999996, 0.0
20.3, -1, 94, -1.5593390581372841, 62.507999999999996, 0.0
20.4, -1, 88, -1.5596266883127894, 62.507999999999996, 0.0
20.5, -1, 81, -1.5597225650379574, 62.507999999999996, 0.0
20.6, -1, 75, -1.5593390581372841, 62.507999999999996, 0.0
20.7, -1, 69, -1.5594349348624525, 62.507999999999996, 9.587672516830327e-05
20.8, -1, 63, -1.5594349348624525, 62.507999999999996, 0.0
20.9, -1, 57, -1.5587637977862745, 62.507999999999996, 9.587672516830327e-05
21.0, 0, 50, -1.5585720443359379, 62.507999999999996, -0.0002876301755049098
21.1, 0, 44, -1.5601060719386308, 62.507999999999996, -0.00019175345033660654
21.2, 0, 38, -1.5608730857399773, 62.507999999999996, -9.587672516830327e-05
21.3, 0, 32, -1.5618318529916602, 62.507999999999996, -9.587672516830327e-05
21.4, 0, 25, -1.5623112366175016, 62.19546, 0.0
21.6, 0, 15, -1.5619277297168284, 37.19226, 0.0
21.7, 0, 11, -1.561735976266492, 27.19098, 0.0
21.8, 0, 8, -1.5618318529916602, 19.69002, 0.0
21.9, 0, 6, -1.561735976266492, 14.68938, 0.0
22.0, 0, 5, -1.5612565926406505, 12.18906, 0.0
22.1, 0, 5, -1.5612565926406505, 62.507999999999996, 0.09510971136695684
22.3, 0, 5, -1.225975684727094, 62.507999999999996, 0.07411270855509842
22.4, 0, 5, -0.929812480682205, 62.507999999999996, 0.05560850059761589
22.5, 1, 4, -0.6562761837770359, 62.507999999999996, 0.03902182714349943
22.6, 4, 2, -0.43786900384364097, 62.507999999999996, 0.026366099421283398
22.7, 10, 0, -0.2761249684847134, 62.507999999999996, 0.017257810530294588
22.8, 15, -1, -0.16183991208409593, 62.507999999999996, 0.01054643976851336
22.9, 21, -2, -0.08686431300248276, 62.507999999999996, 0.006327863861108016
23.0, 27, -2, -0.04170637544821192, 62.507999999999996, 0.003547438831227221
23.1, 33, -2, -0.014765015675918702, 62.507999999999996, 0.001821657778197762
23.2, 39, -2, 0.0005752603510098196, 62.507999999999996, 0.0008628905265147294
23.3, 45, -2, 0.008724781990315598, 62.507999999999996, 0.0003835069006732131
23.4, 51, -2, 0.012463974271879424, 62.507999999999996, 0.00019175345033660654
23.5, 58, -2, 0.01409387859974058, 62.507999999999996, 9.587672516830327e-05
23.6, 64, -2, 0.015148522576591916, 62.507999999999996, 0.0
23.7, 70, -2, 0.015532029477265128, 62.507999999999996, 0.0
24.0, 89, -2, 0.015723782927601734, 62.507999999999996, 0.0
24.1, 95, -2, 0.01610728982827495, 62.507999999999996, 0.0
24.2, 101, -2, 0.01610728982827495, 62.507999999999996, 0.0
24.3, 107, -2, 0.01639492000377986, 62.507999999999996, 0.0
24.4, 114, -2, 0.015915536377938345, 62.507999999999996, 0.0
24.5, 120, -2, 0.01639492000377986, 62.507999999999996, 0.0
24.6, 126, -2, 0.01620316655344325, 62.507999999999996, 0.0
24.7, 132, -2, 0.015723782927601734, 62.507999999999996, 0.0
24.8, 138, -2, 0.015915536377938345, 62.507999999999996, 0.0
24.9, 145, -2, 0.016011413103106647, 62.507999999999996, 0.0
25.0, 151, -2, 0.016011413103106647, 62.507999999999996, 0.0
25.1, 157, -2, 0.016586673454116463, 62.507999999999996, 0.0
25.2, 163, -1, 0.01438150877524549, 62.507999999999996, -0.0003835069006732131
